year;revenue
2015-01;3136
2015-02;2398
2015-03;2363
2015-04;1992
2015-05;2030
2015-06;2073
2015-07;2716
2015-08;2970
2015-09;3683
2015-10;4680
2015-11;4038
2015-12;3236
2016-01;3916
2016-02;3038
2016-03;2728
2016-04;2283
2016-05;2473
2016-06;2184
2016-07;2830
2016-08;3066
2016-09;4367
2016-10;5243
2016-11;5125
2016-12;3544
2017-01;3814
2017-02;2444
2017-03;2325
2017-04;1917
2017-05;2687
2017-06;1998
2017-07;2486
2017-08;2809
2017-09;3465
2017-10;4507
2017-11;4945
2017-12;3346
2018-01;3493
2018-02;2416
2018-03;2378
2018-04;2117
2018-05;2413
2018-06;2161
2018-07;2755
2018-08;3296
2018-09;3817
2018-10;5089
2018-11;5292
2018-12;3391
2019-01;3501
2019-02;2129
2019-03;2520
2019-04;2323
2019-05;2577
2019-06;2219
2019-07;2754
2019-08;2980
2019-09;4569
2019-10;5436
2019-11;5342
2019-12;3842
2020-01;3640
2020-02;2227
2020-03;2563
2020-04;2548
2020-05;2534
2020-06;3167
2020-07;3478
2020-08;4947
2020-09;5611
2020-10;6496
2020-11;6130
2020-12;4309
2021-01;5495
2021-02;3905
2021-03;4169
2021-04;3573
2021-05;4073
2021-06;3556
2021-07;4333
2021-08;4815
2021-09;5726
2021-10;7188
2021-11;7278
2021-12;5452
2022-01;5085
2022-02;4612
2022-03;4705
2022-04;4202
2022-05;4887
2022-06;4331
2022-07;5292
2022-08;6057
2022-09;6736
2022-10;7414
2022-11;7117
