year;trade_contributions
2015-01;-134
2015-02;-121
2015-03;-117
2015-04;-106
2015-05;-103
2015-06;-62
2015-07;-101
2015-08;-125
2015-09;-186
2015-10;-261
2015-11;-263
2015-12;-239
2016-01;-176
2016-02;-151
2016-03;-141
2016-04;-101
2016-05;-136
2016-06;-50
2016-07;-146
2016-08;-157
2016-09;-252
2016-10;-311
2016-11;-319
2016-12;-473
2017-01;-201
2017-02;-136
2017-03;-129
2017-04;-101
2017-05;-153
2017-06;-85
2017-07;-148
2017-08;-167
2017-09;-230
2017-10;-283
2017-11;-320
2017-12;-326
2018-01;-182
2018-02;-145
2018-03;-170
2018-04;-143
2018-05;-152
2018-06;-88
2018-07;-128
2018-08;-185
2018-09;-232
2018-10;-307
2018-11;-430
2018-12;-534
2019-01;-183
2019-02;-125
2019-03;-163
2019-04;-161
2019-05;-167
2019-06;-117
2019-07;-174
2019-08;-184
2019-09;-325
2019-10;-384
2019-11;-332
2019-12;-479
2020-01;-201
2020-02;-147
2020-03;-151
2020-04;-150
2020-05;-169
2020-06;-173
2020-07;-200
2020-08;-268
2020-09;-310
2020-10;-422
2020-11;-478
2020-12;-394
2021-01;-285
2021-02;-235
2021-03;-230
2021-04;-194
2021-05;-260
2021-06;-201
2021-07;-245
2021-08;-237
2021-09;-361
2021-10;-463
2021-11;-510
2021-12;-542
2022-01;-260
2022-02;-254
2022-03;-281
2022-04;-234
2022-05;-272
2022-06;-177
2022-07;-258
2022-08;-340
2022-09;-361
