year;ebit
2015-01;1407
2015-02;820
2015-03;656
2015-04;474
2015-05;440
2015-06;486
2015-07;1078
2015-08;1092
2015-09;1469
2015-10;1894
2015-11;1482
2015-12;-117
2016-01;1757
2016-02;1029
2016-03;793
2016-04;337
2016-05;464
2016-06;352
2016-07;851
2016-08;970
2016-09;1649
2016-10;2241
2016-11;2010
2016-12;273
2017-01;1421
2017-02;573
2017-03;731
2017-04;178
2017-05;666
2017-06;464
2017-07;568
2017-08;838
2017-09;944
2017-10;1764
2017-11;1935
2017-12;165
2018-01;1386
2018-02;725
2018-03;467
2018-04;355
2018-05;549
2018-06;444
2018-07;821
2018-08;1083
2018-09;1309
2018-10;2042
2018-11;1701
2018-12;-442
2019-01;1380
2019-02;359
2019-03;518
2019-04;198
2019-05;521
2019-06;322
2019-07;571
2019-08;782
2019-09;1768
2019-10;2027
2019-11;1858
2019-12;53
2020-01;1337
2020-02;268
2020-03;487
2020-04;329
2020-05;433
2020-06;998
2020-07;1098
2020-08;1948
2020-09;2316
2020-10;2612
2020-11;1413
2020-12;-183
2021-01;2627
2021-02;1165
2021-03;1168
2021-04;859
2021-05;1118
2021-06;1005
2021-07;1295
2021-08;1450
2021-09;1974
2021-10;2591
2021-11;2245
2021-12;-448
2022-01;1777
2022-02;1435
2022-03;1164
2022-04;1068
2022-05;1014
2022-06;1085
2022-07;1396
